Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-19917.488	3081.7998	-12582.975	-27224.396	-8301.869	2719.4658	-3401.9973	-11403.735	20.0	20.0	4999	-1254.0048	389.4225	47.958714	-2759.4417	-1255.689	386.871	19.070206	-2761.3142	313.51562	91530.06	22.921486139297485
2	-4446.692	2193.0535	-1659.4033	-9213.665	-6293.371	3510.5684	-2028.7384	-11936.207	20.0	20.0	9999	-1927.6547	927.6792	228.01974	-6029.811	-1926.9032	928.41846	226.46788	-6052.046	1366.594	25763.758	52.056172132492065
3	-4437.3765	2188.5735	-1701.7092	-9443.277	-6729.3623	2346.047	-3233.7766	-11108.556	20.0	20.0	14999	-4311.5747	1775.4456	-751.478	-10546.336	-4311.4194	1775.7052	-783.8095	-10566.775	4000.092	33939.586	81.5371241569519
4	-4517.522	2225.2524	-1615.5579	-9646.257	-9609.718	2146.7395	-4644.5337	-11935.174	20.0	20.0	19999	-6603.855	2596.0056	-2172.7207	-14637.005	-6603.8955	2595.895	-2230.553	-14652.449	6380.9326	36995.938	114.958505153656
5	-4491.0454	2222.3086	-1797.0735	-9807.728	-6878.8374	3244.5684	-2178.037	-11080.276	20.0	20.0	24999	-8739.125	3335.6067	-3746.7566	-18149.094	-8739.184	3335.4365	-3775.6943	-18151.91	8566.308	41254.184	145.8046841621399
6	-4600.526	2143.801	-1575.1918	-9400.039	-9286.563	2504.7412	-3052.7412	-11865.785	20.0	20.0	29999	-10648.504	3962.3347	-5239.248	-21232.688	-10648.582	3962.145	-5205.563	-21265.746	10503.248	44315.926	176.46484422683716
7	-4552.259	2140.7886	-1705.7229	-9431.868	-5604.0503	2295.519	-2171.499	-9183.175	20.0	20.0	34999	-12372.241	4519.831	-6485.3384	-23998.258	-12372.317	4519.621	-6496.7246	-24022.166	12251.389	51346.195	207.37132287025452
8	-4423.558	2285.6667	-1770.837	-9582.787	-7284.275	2692.8784	-3656.0798	-11023.087	20.0	20.0	39999	-13866.853	5008.303	-7555.061	-26405.781	-13866.906	5008.127	-7556.703	-26467.25	13763.957	63482.062	240.02236604690552
9	-4290.164	2059.006	-1649.99	-9506.795	-8086.5146	2758.887	-2554.9517	-11863.257	20.0	20.0	44999	-15151.692	5424.033	-8496.469	-28549.182	-15151.761	5423.8633	-8484.252	-28602.621	15060.531	66382.35	272.24691009521484
10	-4308.6025	2030.4034	-1741.4371	-9007.6045	-6857.725	2294.9312	-3171.1492	-11213.38	20.0	20.0	49999	-16288.883	5753.535	-9352.428	-30452.178	-16288.927	5753.4614	-9376.819	-30461.309	16207.602	70969.55	304.1576600074768
