Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
25	-114089.3	21862.105	-89124.086	-149309.17	-213150.5	28273.904	-160252.4	-243603.88	180.0	180.0	124999	-26844.494	5345.446	-11999.096	-47312.094	-26844.262	5346.463	-11705.201	-47487.68	26580.889	381051.8	837.2979111671448
26	-110567.3	16455.021	-83991.21	-143540.05	-196307.58	23123.418	-165789.31	-226432.98	180.0	180.0	129999	-32458.22	5892.4146	-18318.148	-54165.734	-32457.975	5893.6255	-18114.725	-54546.367	32191.367	408021.03	872.449156999588
27	-108457.23	17366.168	-86947.58	-148384.66	-164355.92	21885.088	-128805.13	-188708.69	180.0	180.0	134999	-37199.242	6440.245	-22146.426	-76188.79	-37199.254	6440.774	-22030.828	-79289.72	36880.645	431453.7	907.7275111675262
28	-119060.44	22155.686	-79046.57	-156161.88	-178199.55	26823.13	-137818.3	-209632.39	180.0	180.0	139999	-39814.594	6361.525	-25122.596	-79585.625	-39814.9	6359.7705	-25185.203	-79356.42	39380.14	297950.94	943.3395059108734
29	-118360.01	20309.186	-76012.664	-147149.88	-168822.73	22590.16	-140228.69	-207093.98	180.0	180.0	144999	-42371.035	5642.02	-26556.617	-76866.734	-42371.258	5640.4307	-25936.014	-78400.73	42055.188	341332.44	978.3159420490265
30	-114521.93	19913.701	-76997.695	-151697.23	-212219.7	22370.67	-169715.14	-244812.73	180.0	180.0	149999	-44440.227	5201.9863	-28654.578	-100470.305	-44440.16	5201.9565	-29197.035	-99483.64	44098.777	468377.03	1013.7268800735474
31	-101087.484	8875.257	-83094.13	-116193.74	-195925.16	26817.814	-162874.81	-236654.72	180.0	180.0	154999	-47095.836	4573.031	-30552.568	-87193.73	-47095.746	4573.603	-31576.65	-85100.27	46754.445	522485.88	1048.8412070274353
32	-109211.086	14139.084	-87307.33	-147211.47	-167200.08	21825.652	-134368.05	-212094.17	180.0	180.0	159999	-48789.746	3921.916	-24483.242	-75313.97	-48789.754	3922.6956	-25111.582	-74924.03	48396.957	421293.9	1084.932459115982
33	-101797.586	7976.789	-88822.26	-114108.23	-197389.52	17898.533	-173567.19	-230832.53	180.0	180.0	164999	-50476.688	3590.2039	-18459.361	-72490.4	-50476.582	3591.7168	-18577.014	-71400.97	50152.836	409139.25	1120.834711074829
34	-101795.2	8399.571	-85624.51	-118213.21	-197663.73	22991.957	-169366.47	-239447.58	180.0	180.0	169999	-51616.19	3367.0232	-17945.008	-75352.9	-51616.168	3367.0703	-17811.273	-73799.22	51216.027	489426.38	1156.960504770279
35	-104016.5	12088.606	-81933.625	-125809.65	-201494.25	20941.627	-169057.36	-229460.97	180.0	180.0	174999	-53098.14	3332.697	-23609.11	-75217.36	-53098.074	3334.737	-22475.268	-74468.25	52747.617	562186.1	1193.3799970149994
36	-97433.945	10120.365	-78385.03	-116104.44	-199688.0	25609.5	-161749.78	-242082.3	180.0	180.0	179999	-54749.324	3215.8323	-31533.434	-74901.5	-54749.285	3218.4038	-30782.244	-75107.836	54423.91	536696.4	1229.2753529548645
37	-98671.12	8965.365	-84996.49	-114336.266	-203310.92	16406.217	-180335.61	-234113.48	180.0	180.0	184999	-56246.113	3384.407	-39153.453	-75999.664	-56246.152	3384.9707	-38790.12	-76733.82	55937.465	506882.47	1265.049160003662
38	-100316.18	8034.631	-88965.75	-117638.67	-214311.16	17514.578	-179460.08	-240796.8	180.0	180.0	189999	-57561.68	3572.6921	-45465.902	-78318.87	-57561.82	3572.0266	-45077.844	-78905.414	57269.594	493932.9	1300.6303958892822
39	-97556.58	7976.5293	-80950.71	-110765.47	-190978.16	23524.314	-161098.5	-227869.5	180.0	180.0	194999	-58664.203	3669.5361	-50114.13	-80152.59	-58664.137	3668.9214	-49311.13	-80622.65	58385.863	477930.1	1336.3546409606934
40	-100210.68	13507.207	-81282.68	-138119.73	-200574.52	19959.12	-168245.17	-230212.39	180.0	180.0	199999	-59536.887	3688.5017	-51013.64	-80529.17	-59536.86	3688.2405	-51039.137	-80765.54	59254.438	456221.44	1372.5303890705109
41	-103962.37	11546.003	-86397.65	-132134.58	-204112.97	20367.307	-172718.2	-242757.4	180.0	180.0	204999	-59996.72	3703.616	-47718.348	-79441.23	-59996.727	3702.4067	-48027.938	-80381.6	59685.383	471028.84	1409.1355168819427
42	-97669.61	8554.767	-80139.85	-112841.14	-203799.05	23142.723	-159491.03	-225453.52	180.0	180.0	209999	-60450.38	3783.551	-45847.945	-79654.03	-60450.367	3782.3245	-45944.0	-79426.16	60151.617	468053.9	1446.5515630245209
43	-97648.81	9168.218	-77216.305	-116556.08	-200564.94	27120.701	-159308.77	-237863.06	180.0	180.0	214999	-60782.38	3930.4734	-45479.523	-79665.78	-60782.254	3931.0288	-45622.434	-79649.08	60468.7	443232.88	1482.3927819728851
44	-105575.32	9794.777	-86685.36	-124223.086	-210928.67	15495.786	-190708.61	-231161.1	180.0	180.0	219999	-60769.54	3718.7498	-45813.71	-78153.945	-60769.457	3719.7764	-46197.645	-79779.42	60459.57	400463.56	1518.5732271671295
45	-102256.19	9449.54	-85646.26	-119871.53	-189619.3	22673.84	-160066.25	-234824.5	180.0	180.0	224999	-60935.812	3762.7903	-46092.145	-78835.36	-60935.785	3762.6807	-45976.46	-80454.94	60658.535	408020.1	1555.3771028518677
46	-103144.38	7857.7954	-88115.695	-117056.35	-195354.19	22524.562	-166287.19	-248011.33	180.0	180.0	229999	-61376.83	3927.3816	-46750.152	-79779.36	-61376.777	3926.9456	-47135.3	-80582.04	61113.344	420306.53	1590.7893838882446
47	-101745.48	6492.5933	-89057.53	-115142.734	-192796.17	21670.71	-164730.17	-226348.36	180.0	180.0	234999	-61637.773	4154.6733	-47705.87	-80164.055	-61637.8	4153.99	-48081.426	-80190.0	61355.53	422108.3	1627.0282499790192
48	-98039.74	5173.69	-88850.72	-107466.42	-206660.86	29707.453	-166260.55	-247681.94	180.0	180.0	239999	-61695.38	4266.4746	-49672.48	-77772.13	-61695.355	4266.2695	-49822.027	-78451.69	61407.047	419836.1	1662.8517761230469
49	-97138.42	5412.6865	-87926.45	-108059.86	-209589.27	22363.33	-160869.8	-237034.94	180.0	180.0	244999	-61737.23	4395.771	-51245.035	-77338.4	-61737.37	4395.132	-50437.895	-77277.63	61447.18	437739.12	1699.1179327964783
50	-97452.84	4205.178	-88856.555	-105875.484	-205297.39	13712.423	-180933.7	-226070.28	180.0	180.0	249999	-61799.78	4463.6646	-51532.7	-77632.664	-61799.812	4463.0522	-50809.84	-76965.375	61527.83	442270.5	1734.9359078407288
51	-96580.05	6804.676	-78875.19	-111461.5	-215152.12	29506.25	-159661.39	-245761.19	180.0	180.0	254999	-61861.71	4473.422	-52045.516	-77530.13	-61861.78	4472.82	-51912.195	-77155.86	61599.902	441635.75	1770.5337309837341
