Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-174923.14	27058.098	-128775.3	-222256.62	-219937.45	18670.963	-185592.22	-246387.08	180.0	180.0	4999	-1638.5233	647.1971	413.187	-6142.028	-1637.7765	647.2795	55.67175	-5944.506	756.25134	108232.125	22.004230260849
2	-174619.03	27009.293	-129043.21	-217197.73	-193516.55	26219.668	-159859.66	-247231.2	180.0	180.0	9999	-1182.5609	693.52985	1025.2727	-6150.29	-1182.5397	693.478	1066.2572	-5967.0625	121.01026	34391.188	49.32218027114868
3	-184649.0	25813.154	-130638.91	-222162.19	-208414.88	24533.797	-174188.72	-244535.17	180.0	180.0	14999	-803.4779	589.43744	2026.0509	-5060.666	-803.49097	589.2778	2075.7188	-5060.26	-230.65758	28713.344	77.36602306365967
4	-166977.77	24332.693	-131733.53	-217799.61	-193051.78	25125.77	-159358.39	-246428.2	180.0	180.0	19999	-644.3943	623.90497	2485.077	-4348.0864	-644.39575	623.8371	2548.4497	-4305.329	-375.9881	25549.77	105.66454100608826
5	-175848.08	26878.268	-127466.9	-223500.44	-209946.9	30201.52	-162085.53	-245946.2	180.0	180.0	24999	-584.5485	679.4721	2654.8743	-4195.839	-584.54474	679.40485	2759.0977	-4098.3135	-427.08685	24166.867	136.8119502067566
6	-175445.17	25694.938	-127543.42	-217912.42	-205572.67	21759.13	-169168.4	-231075.73	180.0	180.0	29999	-597.49927	730.4302	2826.1296	-4520.068	-597.5116	730.365	2882.5	-4400.2773	-415.4075	24230.02	167.26250910758972
7	-188153.95	25552.81	-135482.92	-230417.33	-211865.2	25843.594	-162840.08	-246409.45	180.0	180.0	34999	-635.3371	772.7558	2821.556	-4829.757	-635.35486	772.69	2934.0757	-4687.063	-383.44296	25233.898	197.47979307174683
8	-173857.64	27187.32	-128837.3	-225668.0	-202752.8	17794.098	-170790.67	-233722.66	180.0	180.0	39999	-656.4808	800.2678	2954.8943	-5103.321	-656.48694	800.1935	2955.7136	-5015.029	-365.84183	26360.23	230.28949093818665
9	-177732.97	29054.09	-137108.39	-222430.02	-189214.97	19034.969	-160896.42	-219666.73	180.0	180.0	44999	-662.0034	829.1683	3155.1333	-5373.461	-662.0219	829.0775	3127.114	-5258.4717	-362.31146	27021.047	268.28410816192627
10	-179614.39	25282.885	-133798.69	-222699.81	-192501.45	24942.727	-161203.75	-242137.86	180.0	180.0	49999	-690.441	846.80743	3183.0642	-5538.993	-690.46234	846.72406	3169.4956	-5456.394	-331.08942	26908.73	299.772253036499
