Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-169419.73	27213.777	-123552.836	-220402.56	-219937.45	18670.963	-185592.22	-246387.08	180.0	180.0	4999	-1608.8236	821.39703	413.46362	-6896.4453	-1607.747	822.3627	18.527096	-6867.602	738.8777	107673.19	24.92596197128296
2	-166995.0	25794.178	-127432.125	-210710.53	-193516.55	26219.668	-159859.66	-247231.2	180.0	180.0	9999	-1179.7554	903.12946	767.24554	-7323.295	-1179.7213	903.1347	755.43384	-7295.2725	191.38274	32871.3	56.11231207847595
3	-176823.73	26254.97	-118103.13	-219067.14	-208414.88	24533.797	-174188.72	-244535.17	180.0	180.0	14999	-889.90015	628.8719	1615.3708	-6661.277	-889.8902	628.88715	1608.3624	-6629.593	-89.17466	26042.19	87.07382202148438
4	-159181.77	23906.066	-121878.914	-205897.25	-193051.78	25125.77	-159358.39	-246428.2	180.0	180.0	19999	-755.16296	627.4989	2541.5527	-4910.6787	-755.16846	627.51154	2502.7415	-4943.2573	-213.20786	22870.084	118.39089012145996
5	-168236.33	24922.324	-121902.02	-217036.39	-209946.9	30201.52	-162085.53	-245946.2	180.0	180.0	24999	-703.0017	723.0587	3173.6252	-3685.7542	-702.99976	723.0814	3164.5022	-3634.7805	-263.9755	22439.543	149.62306904792786
6	-167062.53	24756.697	-124857.88	-212595.67	-205572.67	21759.13	-169168.4	-231075.73	180.0	180.0	29999	-655.9363	795.28406	3504.3057	-3256.383	-655.9198	795.31146	3562.273	-3295.3635	-315.0124	23605.846	180.84382915496826
7	-180768.0	24586.824	-133929.12	-218486.34	-211865.2	25843.594	-162840.08	-246409.45	180.0	180.0	34999	-644.975	834.0198	3643.6482	-3327.7227	-644.95715	834.0434	3695.451	-3354.528	-331.40897	24210.111	212.10486316680908
8	-163993.5	28097.842	-124400.41	-212733.02	-202752.8	17794.098	-170790.67	-233722.66	180.0	180.0	39999	-654.6355	858.23804	3700.016	-3320.2493	-654.6319	858.2547	3751.598	-3318.1038	-324.64642	25115.49	243.4535779953003
9	-169979.02	27593.703	-130631.445	-213712.08	-189214.97	19034.969	-160896.42	-219666.73	180.0	180.0	44999	-672.9578	871.7398	3628.8977	-3220.7996	-672.949	871.75867	3668.6487	-3259.3384	-307.79044	25562.246	274.8999559879303
10	-171760.73	25579.242	-124425.38	-209199.25	-192501.45	24942.727	-161203.75	-242137.86	180.0	180.0	49999	-715.3191	883.8494	3570.625	-3201.6606	-715.3088	883.87006	3613.87	-3225.0732	-268.77737	26173.605	306.3089768886566
11	-170675.0	26524.037	-129290.67	-216777.11	-206973.2	31573.414	-162472.39	-249015.88	180.0	180.0	54999	-842.09094	920.60474	3506.8462	-3151.0044	-842.0561	920.6282	3521.657	-3160.34	-166.87247	32859.508	337.6718690395355
12	-163634.28	22526.787	-129135.26	-214969.55	-202058.08	22828.244	-166662.69	-242561.22	180.0	180.0	59999	-1184.9799	1059.9095	3465.9507	-3512.745	-1184.8512	1059.9703	3507.6206	-3502.504	142.18253	60265.37	369.04767417907715
