Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-19368.605	3207.3025	-11757.839	-27430.447	-8301.869	2719.4658	-3401.9973	-11403.735	20.0	20.0	4999	-1226.8037	392.8462	55.38299	-2703.7417	-1227.5734	389.81357	55.589157	-2624.6074	280.4845	90151.08	23.29699993133545
2	-19067.418	2920.7327	-11318.116	-26155.28	-4439.0444	985.55347	-2678.8926	-6295.748	20.0	20.0	9999	-752.02075	472.73212	991.9562	-2605.452	-752.0063	472.75482	926.4653	-2528.837	-284.8479	19558.637	54.0941481590271
3	-18957.99	3348.71	-11462.741	-26345.514	-6372.9756	3120.495	-2037.4446	-11611.462	20.0	20.0	14999	-508.87576	544.2506	1288.633	-2431.4575	-508.8644	544.2703	1244.4879	-2417.2197	-514.69934	16402.55	87.61160612106323
4	-19319.264	3191.4006	-12647.152	-26391.82	-7732.297	3006.5647	-2392.6238	-11810.928	20.0	20.0	19999	-469.63513	558.6624	1443.5095	-2329.4478	-469.6281	558.6617	1421.7904	-2340.7378	-552.3926	15832.719	122.95436692237854
5	-19375.004	3280.5474	-11908.13	-28590.197	-6457.8604	3352.0913	-2025.1033	-10183.2705	20.0	20.0	24999	-458.01498	569.5979	1456.2332	-2280.9614	-458.01022	569.59607	1433.5157	-2281.4473	-571.881	16284.484	150.5176649093628
6	-19221.645	3180.8127	-12111.472	-25479.715	-7443.896	2790.3594	-3150.7615	-11802.741	20.0	20.0	29999	-452.59265	573.6182	1477.1522	-2256.3467	-452.59155	573.61615	1440.6014	-2274.9993	-574.69543	16436.389	178.91884803771973
7	-18955.436	3066.137	-11571.939	-25987.45	-5923.8135	2064.101	-2133.562	-9711.655	20.0	20.0	34999	-472.48813	563.4211	1472.5658	-2345.578	-472.48593	563.4198	1443.7211	-2339.4812	-548.1734	16371.579	206.83051180839539
8	-19159.867	3343.527	-11741.729	-25920.61	-7498.6772	2836.8398	-2966.079	-11559.773	20.0	20.0	39999	-515.9874	544.1717	1452.765	-2376.3772	-515.98804	544.1746	1411.5398	-2360.4607	-503.6833	16283.245	234.39114904403687
9	-19041.352	3078.8584	-12772.395	-27548.54	-7298.8516	2231.2705	-4066.9033	-11811.841	20.0	20.0	44999	-580.74176	517.39294	1426.1062	-2394.6873	-580.74194	517.4069	1369.9164	-2378.1628	-439.1382	16052.992	262.02343487739563
10	-18627.488	3208.0847	-12500.732	-26193.758	-7889.3115	2533.3577	-3670.3481	-11614.255	20.0	20.0	49999	-640.3929	493.08435	1313.7662	-2408.5347	-640.4001	493.09732	1281.0898	-2395.656	-379.4425	16084.96	289.671098947525
