Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-19997.559	3092.714	-11677.357	-27551.059	-8301.869	2719.4658	-3401.9973	-11403.735	20.0	20.0	4999	-1305.6675	385.54147	48.325752	-2832.2651	-1306.1581	384.14874	-0.61381596	-2802.2256	328.38895	93387.21	22.801546096801758
2	-19908.92	3172.7188	-12194.061	-27075.047	-4439.0444	985.55347	-2678.8926	-6295.748	20.0	20.0	9999	-954.3835	420.477	514.4408	-2655.8513	-954.39716	420.37183	539.89484	-2681.4695	-131.20157	22619.623	51.039138078689575
3	-19756.385	3222.6208	-13047.74	-28514.266	-6372.9756	3120.495	-2037.4446	-11611.462	20.0	20.0	14999	-795.31683	463.91806	831.5749	-2548.164	-795.3119	463.8891	860.68005	-2520.3513	-290.01907	19546.275	79.23248219490051
4	-19938.557	2992.6284	-13282.024	-26226.312	-7732.297	3006.5647	-2392.6238	-11810.928	20.0	20.0	19999	-758.1884	476.99393	902.5341	-2518.6018	-758.17847	477.00226	922.0235	-2491.7039	-331.051	18668.021	107.56666493415833
5	-19937.06	3228.0188	-13366.185	-27171.502	-6457.8604	3352.0913	-2025.1033	-10183.2705	20.0	20.0	24999	-765.46875	477.867	918.0832	-2548.7334	-765.46045	477.88895	931.9219	-2515.9614	-323.91623	18975.758	136.2008261680603
6	-20005.896	3292.6262	-11894.4375	-28636.385	-7443.896	2790.3594	-3150.7615	-11802.741	20.0	20.0	29999	-762.7279	481.32233	909.20154	-2531.965	-762.71844	481.34723	951.1445	-2527.9521	-320.58405	19146.123	164.89792203903198
7	-19842.527	3404.4832	-9759.18	-27867.795	-5923.8135	2064.101	-2133.562	-9711.655	20.0	20.0	34999	-765.1774	482.93286	922.33813	-2540.0125	-765.1722	482.9487	956.4738	-2524.6726	-319.19186	18722.63	193.3531630039215
8	-19855.982	3162.287	-12375.455	-26506.932	-7498.6772	2836.8398	-2966.079	-11559.773	20.0	20.0	39999	-782.7038	474.63193	913.97095	-2556.7878	-782.6935	474.66098	922.71405	-2539.0005	-298.45224	18244.621	222.24411916732788
9	-19368.854	3234.3955	-9706.989	-26825.05	-7298.8516	2231.2705	-4066.9033	-11811.841	20.0	20.0	44999	-807.5957	461.81763	875.3987	-2510.0286	-807.5923	461.8432	919.86694	-2496.0881	-268.38885	17919.13	251.17536115646362
10	-19315.746	3218.4539	-12497.76	-27866.793	-7889.3115	2533.3577	-3670.3481	-11614.255	20.0	20.0	49999	-849.5368	443.27878	804.9243	-2527.1191	-849.52313	443.32382	856.34827	-2510.4475	-221.66914	17726.44	279.95706391334534
